chocosweet,hitemp,year,month
3.3548387096774195,10.2,2009,1
4.25,11.5,2009,2
3.5806451612903225,13.7,2009,3
2.9,20.2,2009,4
2.7096774193548385,23.6,2009,5
2.6333333333333333,25.8,2009,6
2.4838709677419355,29.3,2009,7
2.290322580645161,30.1,2009,8
2.7,26.5,2009,9
3.193548387096774,22.3,2009,10
3.533333333333333,17.0,2009,11
3.612903225806452,12.4,2009,12
3.290322580645161,11.0,2010,1
3.678571428571429,9.9,2010,2
3.5806451612903225,13.2,2010,3
3.3666666666666667,16.6,2010,4
2.677419354838709,23.0,2010,5
2.333333333333333,27.5,2010,6
2.2580645161290325,31.6,2010,7
2.129032258064516,33.5,2010,8
2.566666666666667,29.0,2010,9
3.612903225806452,21.8,2010,10
3.8666666666666663,17.2,2010,11
4.290322580645161,13.7,2010,12
3.4516129032258065,9.1,2011,1
4.428571428571429,11.2,2011,2
4.32258064516129,12.3,2011,3
3.433333333333333,18.9,2011,4
2.7741935483870965,22.2,2011,5
2.6,26.0,2011,6
1.870967741935484,30.9,2011,7
2.161290322580645,31.2,2011,8
2.6666666666666665,28.8,2011,9
3.612903225806452,23.0,2011,10
3.9,18.3,2011,11
4.129032258064516,11.1,2011,12
3.806451612903226,8.3,2012,1
4.620689655172415,9.1,2012,2
3.9354838709677415,12.5,2012,3
3.2333333333333334,18.5,2012,4
2.7741935483870965,23.6,2012,5
2.7,24.8,2012,6
2.290322580645161,30.1,2012,7
2.032258064516129,33.1,2012,8
2.7,29.8,2012,9
3.7096774193548394,23.0,2012,10
4.4,16.3,2012,11
4.451612903225806,11.2,2012,12
3.548387096774193,9.6,2013,1
4.464285714285714,10.3,2013,2
3.967741935483871,16.4,2013,3
3.9,19.2,2013,4
3.193548387096774,24.1,2013,5
2.833333333333333,26.5,2013,6
2.4838709677419355,31.4,2013,7
2.290322580645161,33.2,2013,8
3.2666666666666666,28.8,2013,9
3.7741935483870965,23.0,2013,10
4.033333333333333,17.4,2013,11
3.870967741935484,12.1,2013,12
3.7096774193548394,10.6,2014,1
4.642857142857143,9.8,2014,2
4.516129032258065,14.5,2014,3
3.633333333333333,19.6,2014,4
3.3225806451612905,24.7,2014,5
2.833333333333333,26.9,2014,6
2.5806451612903225,30.5,2014,7
2.7096774193548385,31.2,2014,8
3.4,26.9,2014,9
4.225806451612904,23.0,2014,10
4.766666666666667,17.4,2014,11
5.516129032258066,11.0,2014,12
4.32258064516129,10.4,2015,1
5.4642857142857135,10.4,2015,2
5.129032258064517,15.5,2015,3
4.5,19.3,2015,4
3.5806451612903225,26.4,2015,5
3.2666666666666666,26.4,2015,6
3.032258064516129,30.1,2015,7
3.161290322580645,30.5,2015,8
3.566666666666667,26.4,2015,9
4.451612903225806,22.7,2015,10
4.633333333333334,17.8,2015,11
5.129032258064517,13.4,2015,12
4.548387096774194,10.6,2016,1
5.448275862068965,12.2,2016,2
4.870967741935483,14.9,2016,3
4.233333333333333,20.3,2016,4
3.645161290322581,25.2,2016,5
3.333333333333333,26.3,2016,6
2.838709677419355,29.7,2016,7
2.6129032258064515,31.6,2016,8
3.533333333333333,27.7,2016,9
4.0,22.6,2016,10
4.6,15.5,2016,11
5.290322580645161,13.8,2016,12
4.0,10.8,2017,1
5.178571428571429,12.1,2017,2
4.516129032258065,13.4,2017,3
3.7,19.9,2017,4
3.419354838709677,25.1,2017,5
3.066666666666667,26.4,2017,6
2.6129032258064515,31.8,2017,7
3.0,30.4,2017,8
3.433333333333333,26.8,2017,9
4.516129032258065,20.1,2017,10
4.8,16.6,2017,11
5.064516129032258,11.1,2017,12
4.645161290322581,9.4,2018,1
5.5,10.1,2018,2
4.967741935483871,16.9,2018,3
4.1,22.1,2018,4
3.612903225806452,24.6,2018,5
3.333333333333333,26.6,2018,6
3.0,32.7,2018,7
3.193548387096774,32.5,2018,8
4.066666666666666,26.6,2018,9
4.741935483870968,23.0,2018,10
5.133333333333334,17.7,2018,11
5.354838709677419,12.1,2018,12
